4 627 854
0 0 1158.000000 216.000000
0 1 1006.000000 346.000000
0 2 1107.000000 243.000000
0 3 1116.000000 158.000000
0 4 1014.000000 263.000000
0 5 1090.000000 177.000000
0 6 1087.000000 177.000000
0 7 1028.000000 506.000000
0 8 1118.000000 186.000000
0 9 1125.000000 732.000000
0 10 1094.000000 176.000000
0 11 1124.000000 739.000000
0 12 1118.000000 184.000000
0 13 1052.000000 587.000000
0 14 1028.000000 506.400024
0 15 1103.599976 184.800003
0 16 1005.200012 345.600006
0 17 1116.800049 157.200012
0 18 1052.000000 588.000000
0 19 1025.599976 506.400024
0 20 1098.800049 129.600006
0 21 1104.800049 243.600006
0 22 1125.199951 732.000000
0 23 1114.400024 158.400009
0 24 1118.000000 183.600006
0 25 1126.400024 740.400024
0 26 1089.920044 177.120010
0 27 1114.400024 158.400009
0 28 1121.599976 158.400009
0 29 1102.880005 184.320007
0 30 1125.920044 740.160034
0 31 1026.560059 506.880005
0 32 1098.560059 129.600006
0 33 1090.784058 176.256012
0 34 1114.976074 158.976013
0 35 1121.888062 158.976013
0 36 1104.608032 243.648026
0 37 1102.880005 183.168015
0 38 1033.760010 502.848053
0 39 1025.119995 506.304047
0 40 1090.784058 176.256027
0 41 1105.299194 244.684830
0 42 1103.225586 184.550430
0 43 1121.888062 157.593628
0 44 1090.369263 176.670761
0 45 1067.974365 258.785339
0 46 1067.078613 257.989105
0 47 1067.078613 598.391357
1 0 203.000000 217.000000
1 1 51.000000 345.000000
1 2 151.000000 246.000000
1 3 160.000000 158.000000
1 4 58.000000 263.000000
1 5 134.000000 177.000000
1 6 130.352127 173.775742
1 7 74.000000 505.000000
1 8 162.000000 184.800003
1 9 171.000000 733.000000
1 10 137.234558 173.088684
1 11 171.000000 740.000000
1 12 162.000000 184.800003
1 13 98.000000 588.000000
1 14 74.000000 505.000000
1 15 147.600006 183.600006
1 16 51.000000 345.000000
1 17 158.400009 158.400009
1 18 98.000000 588.000000
1 19 72.000000 506.880005
1 20 141.120010 129.600006
1 21 151.000000 246.000000
1 22 171.600006 733.200012
1 23 160.000000 158.000000
1 24 162.000000 184.800003
1 25 171.000000 740.000000
1 26 133.919998 177.120010
1 27 158.400009 158.400009
1 28 165.600006 159.840012
1 29 146.880005 184.320007
1 30 170.400009 740.400024
1 31 72.000000 506.880005
1 32 141.696014 129.600006
1 33 133.056015 176.256012
1 34 158.400009 158.400009
1 35 165.888016 158.976013
1 36 150.336014 245.376022
1 37 147.225616 182.476822
1 38 80.639999 502.560028
1 39 72.000000 506.880005
1 40 132.710419 176.256027
1 41 149.299225 244.684830
1 42 147.225616 182.476822
1 43 165.888031 157.593628
1 44 134.369308 176.670761
1 45 113.467422 259.780670
1 46 111.078636 257.989105
1 47 114.661819 598.391357
2 48 1128.000000 709.000000
2 49 1078.000000 777.000000
2 50 1147.000000 753.000000
2 51 1147.931885 749.552002
2 52 1132.000000 1042.000000
2 53 1101.000000 733.000000
2 54 1136.000000 710.000000
2 55 1126.000000 757.000000
2 56 1110.000000 714.000000
2 57 1122.000000 567.000000
